statNm,addr,output,statId,chgerId,lat,lng,method,year
태양상운수(운수사 전용),인천광역시 부평구 부평북로 179,100,ST282301,04,37.5229353,126.7130302,동시,2021
현대자동차 삼산지점(임직원전용),인천광역시 부평구 장제로 329,100,ST282302,01,37.5151244,126.7316881,단독,2022
기아자동차 송내대리점,인천광역시 부평구 경인로1185번길 1,100,ST282303,01,37.4842527,126.7511917,동시,2023
기아자동차 송내대리점,인천광역시 부평구 경인로1185번길 1,100,ST282303,02,37.4842527,126.7511917,동시,2023
부평시장 공영주차장(건물),인천광역시 부평구 시장로61번길 11,100,ST282304,01,37.4960518,126.7270145,동시,2023
부평시장 공영주차장(건물),인천광역시 부평구 시장로61번길 11,100,ST282304,02,37.4960518,126.7270145,동시,2023
부평공원앞공영주차장,인천광역시 부평구 경원대로 1339,100,ST282305,01,37.4915975,126.7176882,동시,2022
부평공원앞공영주차장,인천광역시 부평구 경원대로 1339,100,ST282305,02,37.4915975,126.7176882,동시,2022
십정공영주차장,인천광역시 부평구 배곶로40번길 18,100,ST282306,01,37.4723949,126.6982319,동시,2022
십정공영주차장,인천광역시 부평구 배곶로40번길 18,100,ST282306,02,37.4723949,126.6982319,동시,2022
부평시장 대정 공영주차장(건물),인천광역시 부평구 주부토로 19,100,ST282307,01,37.4971199,126.7245015,동시,2023
부평시장 대정 공영주차장(건물),인천광역시 부평구 주부토로 19,100,ST282307,02,37.4971199,126.7245015,동시,2023
스마트택시차고지,인천광역시 계양구 새풀로1번길 8,100,ST282401,01,37.5238613,126.6993565,동시,2021
스마트택시차고지,인천광역시 계양구 새풀로1번길 8,100,ST282401,02,37.5238613,126.6993565,동시,2021
스마트택시차고지,인천광역시 계양구 새풀로1번길 8,100,ST282401,03,37.5238613,126.6993565,동시,2021
스마트택시차고지,인천광역시 계양구 새풀로1번길 8,100,ST282401,04,37.5238613,126.6993565,동시,2021
이마트 계양점,인천광역시 계양구 봉오대로 785,100,ST282402,01,37.531038,126.7368967,동시,2022
이마트 계양점,인천광역시 계양구 봉오대로 785,100,ST282402,02,37.531038,126.7368967,동시,2022
이마트 계양점,인천광역시 계양구 봉오대로 785,100,ST282402,03,37.531038,126.7368967,동시,2022
이마트 계양점,인천광역시 계양구 봉오대로 785,100,ST282402,04,37.531038,126.7368967,동시,2022
서운산단공영주차장(회원 전용),인천광역시 계양구 서운산단로7길 19,50,ST282403,01,37.5352456,126.7539185,단독,2019
서운산단공영주차장(회원 전용),인천광역시 계양구 서운산단로7길 19,50,ST282403,02,37.5352456,126.7539185,단독,2019
방축공영주차장(어린이과학관 부근),인천광역시 계양구 방축로 21,100,ST282406,02,37.5515693,126.7399422,동시,2023
방축공영주차장(어린이과학관 부근),인천광역시 계양구 방축로 21,100,ST282406,03,37.5515693,126.7399422,동시,2023
계양산 공영주차장,인천광역시 계양구 계양산로102번길 4,100,ST282408,01,37.547302,126.7265684,동시,2023
계양산 공영주차장,인천광역시 계양구 계양산로102번길 4,100,ST282408,02,37.547302,126.7265684,동시,2023
목수천 공영주차장,인천광역시 계양구 작전동 710,100,ST282409,01,37.5247904,126.7333628,동시,2023
목수천 공영주차장,인천광역시 계양구 작전동 710,100,ST282409,02,37.5247904,126.7333628,동시,2023
작전역 환승주차장(동남),인천광역시 계양구 작전동 887,200,ST282411,01,37.5300121,126.723694,동시,2023
작전역 환승주차장(동남),인천광역시 계양구 작전동 887,200,ST282411,02,37.5300121,126.723694,동시,2023
작전역 환승주차장(동북),인천광역시 계양구 작전동 885,200,ST282412,01,37.5304601,126.7247895,동시,2023
작전역 환승주차장(동북),인천광역시 계양구 작전동 885,200,ST282412,02,37.5304601,126.7247895,동시,2023
작전역 환승주차장(서남),인천광역시 계양구 작전동 877,100,ST282413,01,37.5301658,126.7212664,동시,2023
작전역 환승주차장(서남),인천광역시 계양구 작전동 877,100,ST282413,02,37.5301658,126.7212664,동시,2023
계산체육공원지하 공영주차장,인천광역시 계양구 주부토로 570,100,ST282414,01,37.5443986,126.7289883,동시,2023
계산체육공원지하 공영주차장,인천광역시 계양구 주부토로 570,100,ST282414,02,37.5443986,126.7289883,동시,2023
계양구청 주차장,인천광역시 계양구 계산새로 88,100,ST282415,01,37.5374406,126.7377601,동시,2023
계양구청 주차장,인천광역시 계양구 계산새로 88,100,ST282415,02,37.5374406,126.7377601,동시,2023
계양구청 주차장,인천광역시 계양구 계산새로 88,100,ST282415,03,37.5374406,126.7377601,동시,2023
계양구청 주차장,인천광역시 계양구 계산새로 88,100,ST282415,04,37.5374406,126.7377601,동시,2023
한국도로공사 인천지사,인천광역시 계양구 경명대로 1322,100,ST282416,01,37.542615,126.752845,동시,2023
한국도로공사 인천지사,인천광역시 계양구 경명대로 1322,100,ST282416,02,37.542615,126.752845,동시,2023
한국도로공사 인천영업소,인천광역시 계양구 경인고속도로 17,100,ST282417,01,37.525264,126.74867,동시,2023
한국도로공사 인천영업소,인천광역시 계양구 경인고속도로 17,100,ST282417,02,37.525264,126.74867,동시,2023
이마트 검단점(지상4층 옥상주차장),인천광역시 서구 서곶로,100,ST282601,15,37.585828,126.678056,동시,2018
이마트 검단점(지상4층 옥상주차장),인천광역시 서구 서곶로,100,ST282601,16,37.585828,126.678056,동시,2018
이마트 검단점(지상4층 옥상주차장),인천광역시 서구 서곶로,100,ST282601,17,37.585828,126.678056,동시,2018
이마트 검단점(지상4층 옥상주차장),인천광역시 서구 서곶로,100,ST282601,18,37.585828,126.678056,동시,2018
인천 검단교통(신현동)(운수사 전용),인천광역시 서구 원창로 136,100,ST282606,01,37.5175355,126.6643783,동시,2021
인천 검단교통(신현동)(운수사 전용),인천광역시 서구 원창로 136,100,ST282606,02,37.5175355,126.6643783,동시,2021
영하운수(운수사 전용),인천광역시 서구 길주로75번길 3,100,ST282611,01,37.5069464,126.6703042,동시,2021
